ENSG00000166529.14	ZSCAN21
ENSG00000166716.9	ZNF592
ENSG00000166949.15	SMAD3
ENSG00000167034.9	NKX3-1
ENSG00000167081.16	PBX3
ENSG00000167182.14	SP2
ENSG00000167377.18	ZNF23
ENSG00000167384.10	ZNF180
ENSG00000167491.17	GATAD2A
ENSG00000167528.12	ZNF641
ENSG00000167554.14	ZNF610
ENSG00000167555.13	ZNF528
ENSG00000167562.12	ZNF701
ENSG00000167635.11	ZNF146
ENSG00000167637.16	ZNF283
ENSG00000167685.14	ZNF444
ENSG00000167766.18	ZNF83
ENSG00000167785.8	ZNF558
ENSG00000167967.15	E4F1
ENSG00000167981.6	ZNF597
ENSG00000168214.20	RBPJ
ENSG00000168286.2	THAP11
ENSG00000168310.10	IRF2
ENSG00000168348.3	INSM2
ENSG00000168610.14	STAT3
ENSG00000168661.14	ZNF30
ENSG00000168769.13	TET2
ENSG00000168772.10	CXXC4
ENSG00000168795.4	ZBTB5
ENSG00000168813.16	ZNF507
ENSG00000168826.15	ZBTB49
ENSG00000169016.16	E2F6
ENSG00000169083.16	AR
ENSG00000169131.12	ZNF354A
ENSG00000169297.7	NR0B1
ENSG00000169548.3	ZNF280A
ENSG00000169554.19	ZEB2
ENSG00000169856.8	ONECUT1
ENSG00000169926.10	KLF13
ENSG00000169951.9	ZNF764
ENSG00000169955.7	ZNF747
ENSG00000169957.9	ZNF768
ENSG00000169981.10	ZNF35
ENSG00000170100.13	ZNF778
ENSG00000170260.8	ZNF212
ENSG00000170265.11	ZNF282
ENSG00000170325.14	PRDM10
ENSG00000170345.9	FOS
ENSG00000170365.9	SMAD1
ENSG00000170374.5	SP7
ENSG00000170448.11	NFXL1
ENSG00000170577.7	SIX2
ENSG00000170581.13	STAT2
ENSG00000170608.2	FOXA3
ENSG00000170631.14	ZNF16
ENSG00000170653.18	ATF7
ENSG00000171163.15	ZNF692
ENSG00000171223.5	JUNB
ENSG00000171291.8	ZNF439
ENSG00000171295.12	ZNF440
ENSG00000171443.6	ZNF524
ENSG00000171448.8	ZBTB26
ENSG00000171466.9	ZNF562
ENSG00000171467.15	ZNF318
ENSG00000171469.10	ZNF561
ENSG00000171574.17	ZNF584
ENSG00000171606.17	ZNF274
ENSG00000171634.17	BPTF
ENSG00000171649.11	ZIK1
ENSG00000171817.16	ZNF540
ENSG00000171827.10	ZNF570
ENSG00000171872.4	KLF17
ENSG00000171940.13	ZNF217
ENSG00000171970.12	ZNF57
ENSG00000172006.11	ZNF554
ENSG00000172216.5	CEBPB
ENSG00000172273.12	HINFP
ENSG00000172466.15	ZNF24
ENSG00000172748.13	ZNF596
ENSG00000172789.3	HOXC5
ENSG00000172845.14	SP3
ENSG00000172888.11	ZNF621
ENSG00000173039.18	RELA
ENSG00000173041.11	ZNF680
ENSG00000173153.13	ESRRA
ENSG00000173258.12	ZNF483
ENSG00000173275.12	ZNF449
ENSG00000173276.13	ZBTB21
ENSG00000173480.10	ZNF417
ENSG00000173757.9	STAT5B
ENSG00000173875.13	ZNF791
ENSG00000173894.10	CBX2
ENSG00000174197.16	MGA
ENSG00000174332.5	GLIS1
ENSG00000174652.18	ZNF266
ENSG00000175105.6	ZNF654
ENSG00000175322.11	ZNF519
ENSG00000175395.15	ZNF25
ENSG00000175550.7	DRAP1
ENSG00000175592.8	FOSL1
ENSG00000175691.8	ZNF77
ENSG00000175745.12	NR2F1
ENSG00000175787.16	ZNF169
ENSG00000175809.5	ZNF645
ENSG00000175832.12	ETV4
ENSG00000176024.17	ZNF613
ENSG00000176222.8	ZNF404
ENSG00000176293.19	ZNF135
ENSG00000176371.13	ZSCAN2
ENSG00000176723.9	ZNF843
ENSG00000176887.6	SOX11
ENSG00000177030.16	DEAF1
ENSG00000177045.8	SIX5
ENSG00000177374.12	HIC1
ENSG00000177463.15	NR2C2
ENSG00000177485.6	ZBTB33
ENSG00000177599.12	ZNF491
ENSG00000177606.6	JUN
ENSG00000177842.12	ZNF620
ENSG00000177853.14	ZNF518A
ENSG00000177873.12	ZNF619
ENSG00000177932.6	ZNF354C
ENSG00000178150.9	ZNF114
ENSG00000178175.11	ZNF366
ENSG00000178177.15	LCORL
ENSG00000178187.7	ZNF454
ENSG00000178229.7	ZNF543
ENSG00000178338.10	ZNF354B
ENSG00000178386.12	ZNF223
